,News Account,Tweet,Tweet Date,VADER Compound,VADER Negative,VADER Neutral,VADER Positive
0,The New York Times,This video is the first piece in a series about these residents. Their stories offer a look at how people are confr… https://t.co/NLB5u8MLra,Mon Mar 19 19:02:38 +0000 2018,0.0,0.0,0.0,0.0
1,The New York Times,"In the 6 months since Harvey, The New York Times followed several families in the Cinco Ranch community as they str… https://t.co/naAH2tvhPx",Mon Mar 19 19:01:46 +0000 2018,0.0,0.0,0.0,0.0
2,The New York Times,The homes in Cinco Ranch sat on land that had been designed to flood — a fact that wasn’t widely publicized when a… https://t.co/qAwdPWE5WV,Mon Mar 19 19:00:57 +0000 2018,0.0,0.0,0.0,0.0
3,The New York Times,"After Hurricane Harvey swamped Houston, some residents of one suburban area were shocked to learn that the flooding… https://t.co/QYRyJRcO7D",Mon Mar 19 19:00:10 +0000 2018,-0.3182,0.113,0.0,0.0
4,The New York Times,"RT @tiffkhsu: Claire's, where I and all of my friends and all of their friends got ears pierced as teenagers, is filing for Chapter 11 bank…",Mon Mar 19 18:50:06 +0000 2018,0.7351,0.0,0.212,0.212
5,The New York Times,Does New York want another celebrity in public office? The actress Cynthia Nixon hopes so: She just entered the rac… https://t.co/tmzrIs6quF,Mon Mar 19 18:40:22 +0000 2018,0.4767,0.0,0.177,0.177
6,The New York Times,"RT @julieturkewitz: For much of our country's history, native people weren't permitted to vote. Now there are a historic number of indigeno…",Mon Mar 19 18:40:04 +0000 2018,0.0772,0.0,0.061,0.061
7,The New York Times,"4 bombings this month in Austin, including one on Sunday night, have killed 2 people and injured 4. Here's what we… https://t.co/bqa42mRTn7",Mon Mar 19 18:30:04 +0000 2018,-0.802,0.286,0.0,0.0
8,The New York Times,Another reader reacts to the news that a woman died after being hit by a self-driving Uber car… https://t.co/z1uax6tzgG,Mon Mar 19 18:21:43 +0000 2018,-0.5574,0.184,0.0,0.0
9,The New York Times,A New York Times reader reacts to the news that a woman died after being hit by a self-driving Uber car… https://t.co/1Tm0f1qpdM,Mon Mar 19 18:20:05 +0000 2018,-0.5574,0.167,0.0,0.0
10,The New York Times,You'll probably need to do a little shopping to make this traditional dish. But it's well worth it. https://t.co/8sjpx5xcn7,Mon Mar 19 18:10:09 +0000 2018,0.4588,0.0,0.2,0.2
11,The New York Times,"RT @NYTSports: Tyronn Lue: “I have had chest pains and other troubling symptoms."" He's stepping away from the Cavs with just 13 games left…",Mon Mar 19 18:00:11 +0000 2018,-0.743,0.223,0.0,0.0
12,The New York Times,"Andrew McCabe, the former FBI deputy director, was fired late Friday night — on the eve of his retirement. Here’s w… https://t.co/WgdgoA0WtP",Mon Mar 19 17:50:06 +0000 2018,-0.5574,0.153,0.0,0.0
13,The New York Times,Stuffed ham is one of America’s most regionally specific dishes. People in Southern Maryland cherish it. https://t.co/g2tDQy5xWK,Mon Mar 19 17:40:10 +0000 2018,0.3818,0.0,0.14,0.14
14,The New York Times,One NYT reader embraces the practice of flirting for tips https://t.co/bzmsCpF0sp https://t.co/35aiorjdej,Mon Mar 19 17:35:00 +0000 2018,0.2023,0.0,0.141,0.141
15,The New York Times,"RT @jasondhorowitz: Luigi Di Maio, 31, and Italy's potential next leader, was living at home “until five years ago,” his mother tells me. M…",Mon Mar 19 17:30:06 +0000 2018,0.0,0.0,0.0,0.0
16,The New York Times,President Trump is planning to hire a lawyer who’s pushed theories on Fox News that Trump was framed by the FBI and… https://t.co/W8oVqa5D2I,Mon Mar 19 17:17:10 +0000 2018,0.0,0.0,0.0,0.0
17,The New York Times,"The change of a single word in the new tax law means the MLB, NBA and other sports franchises could now face capita… https://t.co/NBcgIvPN2X",Mon Mar 19 17:05:07 +0000 2018,0.0,0.0,0.0,0.0
18,The New York Times,"Breaking News: A woman died after being hit by a self-driving Uber car in Tempe, Arizona. It’s the first known pede… https://t.co/KqD9AUqOm5",Mon Mar 19 16:55:21 +0000 2018,-0.5574,0.159,0.0,0.0
19,The New York Times,"RT @nytopinion: I am a junior in high school, and I regularly shoot guns, for target practice and hunting, writes Dakota Hanchett https://t…",Mon Mar 19 16:50:05 +0000 2018,-0.34,0.112,0.0,0.0
20,The New York Times,Britain will have a transition period after the country withdraws from the EU — as long as a deal can be struck to… https://t.co/j3M7RRrd5d,Mon Mar 19 16:40:07 +0000 2018,-0.25,0.091,0.0,0.0
21,The New York Times,What we know about the Austin bombings https://t.co/EfHgpraY8B,Mon Mar 19 16:30:10 +0000 2018,0.0,0.0,0.0,0.0
22,The New York Times,"The Austin police chief sent an unusual public message to the unknown bomber or bombers on Sunday: ""We assure you t… https://t.co/BYmbbRdr6n",Mon Mar 19 16:20:09 +0000 2018,0.34,0.0,0.103,0.103
23,The New York Times,"RT @NYTMetro: Prewar walk-up, airy loft, garden flat or sky-high glass-and-steel cube — we took a look at the history of the New York City…",Mon Mar 19 16:10:08 +0000 2018,0.0,0.0,0.0,0.0
24,The New York Times,"After we published an article examining how servers endure harassing behavior for tips, readers wrote in with their… https://t.co/2zaaCSwtzd",Mon Mar 19 16:00:19 +0000 2018,-0.5423,0.163,0.0,0.0
25,The New York Times,"In her early 20s, Mary Ewing Outerbridge brought tennis to the U.S. in the 1870s, establishing what may have been A… https://t.co/vqkNjr5uhs",Mon Mar 19 15:50:08 +0000 2018,0.0,0.0,0.0,0.0
26,The New York Times,"Michael Ferro stepped down as the chairman of Tronc, just weeks after he helped negotiate the sale of The Los Angel… https://t.co/2ctT8mAELY",Mon Mar 19 15:39:25 +0000 2018,0.0,0.0,0.0,0.0
27,The New York Times,YouTube announced it would enlist Wikipedia’s help to deal with the proliferation of conspiracy theories and misinf… https://t.co/BRgKu7qgmR,Mon Mar 19 15:30:02 +0000 2018,-0.1779,0.154,0.122,0.122
28,The New York Times,RT @nhannahjones: An absolutely devastating new study about race and black males. Sons of wealthy black parents no better off than sons of…,Mon Mar 19 15:20:05 +0000 2018,-0.3384,0.218,0.173,0.173
29,The New York Times,There’s never been a Native American congresswoman. That could change in 2018. https://t.co/sWz8dv2SQ5,Mon Mar 19 15:10:06 +0000 2018,0.0,0.0,0.0,0.0
30,The New York Times,"RT @NYTNational: “Rules don’t matter for them. For them, this is a war, and it’s all fair,"" said a founder of Cambridge Analytica, a firm t…",Mon Mar 19 15:00:15 +0000 2018,-0.5859,0.15,0.042,0.042
31,The New York Times,“Our community never should have been developed. It’s hundreds and hundreds of houses. Now we are proof that we nee… https://t.co/jlC1TJJ7JE,Mon Mar 19 14:52:32 +0000 2018,0.0,0.0,0.0,0.0
32,The New York Times,"After Hurricane Harvey, thousands of homes in a Houston suburb were deliberately flooded by the federal government.… https://t.co/x3cwgQEQkr",Mon Mar 19 14:51:34 +0000 2018,0.0,0.0,0.0,0.0
33,The New York Times,"In Opinion 

Op-Ed columnist @CharlesMBlow writes: ""How are international agreements supposed to be negotiated when… https://t.co/iS7FGbJfIZ",Mon Mar 19 14:45:09 +0000 2018,0.2732,0.0,0.123,0.123
34,The New York Times,"Andrew Cuomo suggested that his name ""was never mentioned"" during his former aide's corruption trial. That is incor… https://t.co/FlXRhzCHHl",Mon Mar 19 14:30:14 +0000 2018,0.0,0.0,0.0,0.0
35,The New York Times,"New York’s school system is complex and deeply political. Its next leader has only modest big-district experience,… https://t.co/x5UZ6mPYcp",Mon Mar 19 14:20:07 +0000 2018,0.0,0.0,0.0,0.0
36,The New York Times,How do you find a person when all you have is half of a smiling face in an old photo? You turn to social media. https://t.co/F20iRGe0yG,Mon Mar 19 14:11:03 +0000 2018,0.4588,0.0,0.115,0.115
37,The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/ZoTLlxQP9f https://t.co/8lBjSG6F6I,Mon Mar 19 14:00:24 +0000 2018,0.0,0.0,0.0,0.0
38,The New York Times,Some aides view the weekend's attacks on Robert Mueller and the FBI as a particularly disturbing taste of what they… https://t.co/dlWTNJK5wk,Mon Mar 19 13:45:02 +0000 2018,-0.7574,0.265,0.0,0.0
39,The New York Times,We also wanted to hear from you. Readers described the pressure to tolerate harassing behavior in order to earn tip… https://t.co/4c3MxgNyIS,Mon Mar 19 13:30:00 +0000 2018,-0.6908,0.231,0.0,0.0
40,The New York Times,"Among his credentials, Luigi Di Maio was the treasurer of his elementary school class and the president of his high… https://t.co/2ENENcK6pD",Mon Mar 19 13:16:01 +0000 2018,0.128,0.0,0.07,0.07
41,The New York Times,RT @nytimesarts: No one listener can choose a definitive “best of” SXSW; it’s impossible to hear more than a small percentage of the perfor…,Mon Mar 19 13:00:13 +0000 2018,-0.296,0.095,0.0,0.0
42,The New York Times,"Kate McKinnon as Education Secretary Betsy DeVos: ""Look, I may not be very good on camera, but behind the scenes, m… https://t.co/bfafJqEzAm",Mon Mar 19 12:50:04 +0000 2018,-0.2051,0.083,0.0,0.0
43,The New York Times,"Black boys raised in America, even in the wealthiest families and living in some of the most well-to-do neighborhoo… https://t.co/OGBKVIcK2J",Mon Mar 19 12:40:03 +0000 2018,0.4939,0.0,0.144,0.144
44,The New York Times,4 easy ways to cut down your sugar intake https://t.co/y33BxQJCnl,Mon Mar 19 12:30:14 +0000 2018,0.2023,0.175,0.242,0.242
45,The New York Times,"When asked if women were equal to men, Prince Mohammed said: ""Absolutely. We are all human beings and there is no d… https://t.co/CwcBNofidf",Mon Mar 19 12:20:06 +0000 2018,-0.296,0.091,0.0,0.0
46,The New York Times,"NCAA men's tournament: Xavier, Michigan State, Cincinnati, North Carolina and Auburn exit much earlier than many ex… https://t.co/2qZgXNxJh3",Mon Mar 19 12:11:04 +0000 2018,0.0,0.0,0.0,0.0
47,The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/9gvaeEZbMx https://t.co/w1K9nD6AA5,Mon Mar 19 12:00:04 +0000 2018,0.0,0.0,0.0,0.0
48,The New York Times,President Trump ignored the advice of his own lawyers and lashed out at Robert Mueller on Twitter. Here's how top R… https://t.co/yeK5eb5OXV,Mon Mar 19 11:50:04 +0000 2018,-0.128,0.095,0.075,0.075
49,The New York Times,Britain's National Health Service is paying French doctors to perform some operations on its behalf https://t.co/4wWCaNjTMu,Mon Mar 19 11:40:04 +0000 2018,0.0,0.0,0.0,0.0
50,The New York Times,Austin was struck by a fourth explosion just hours after a televised appeal to the bomber https://t.co/4v1JYlYVts https://t.co/JyCFz78CLb,Mon Mar 19 11:30:11 +0000 2018,-0.25,0.118,0.0,0.0
51,The New York Times,"""Mr. President, the American people will hear my story very soon,"" James Comey tweeted Twitter on Saturday, in what… https://t.co/muUnhrU7Tx",Mon Mar 19 11:20:11 +0000 2018,0.0,0.0,0.0,0.0
52,The New York Times,"Trump called the firing of McCabe, the deputy FBI director, a ""great day for democracy."" McCabe says it's further e… https://t.co/ja3hDRB5UH",Mon Mar 19 11:10:08 +0000 2018,0.4019,0.098,0.167,0.167
53,The New York Times,"A Republican candidate in Maine dropped out after he was excoriated for calling one Parkland shooting survivor a ""s… https://t.co/iDP2y5kasj",Mon Mar 19 11:00:14 +0000 2018,0.3612,0.0,0.128,0.128
54,The New York Times,"Trump's attack on Robert Mueller, a longtime Republican and former FBI director appointed by George W. Bush, drew i… https://t.co/USv58YxIVL",Mon Mar 19 10:45:02 +0000 2018,-0.4767,0.147,0.0,0.0
55,The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/buVWCNvtZQ https://t.co/XfAJQ3k1Vc,Mon Mar 19 10:30:03 +0000 2018,0.0,0.0,0.0,0.0
56,The New York Times,"As the list of endangered animals grows longer, we may soon be faced with an impossible decision: which ones to sav… https://t.co/qxinyIbkFc",Mon Mar 19 10:14:05 +0000 2018,0.0,0.0,0.0,0.0
57,The New York Times,"Britain should seek to postpone Brexit if talks drag on during the next few months, an influential committee of law… https://t.co/VgIKFxrTxX",Mon Mar 19 10:00:07 +0000 2018,0.0258,0.154,0.117,0.117
58,The New York Times,"RT @LizziePaton: Black models with very dark skin walked at many of the blockbuster shows this season, more so than ever before. Why now -…",Mon Mar 19 09:50:05 +0000 2018,0.5994,0.0,0.14,0.14
59,The New York Times,Britain says it has proof that Russia has been stockpiling and researching lethal nerve agents for the purpose of a… https://t.co/sYsWVnTiCJ,Mon Mar 19 09:40:07 +0000 2018,0.0,0.0,0.0,0.0
60,The New York Times,"Russian voters came out in smaller numbers than the Kremlin had hoped, but the result showed that Vladimir Putin en… https://t.co/LAi3vnNSAT",Mon Mar 19 09:30:07 +0000 2018,0.2023,0.0,0.083,0.083
61,The New York Times,"""After 50 meters she was just gone, baby, gone,"" said a man who swam after Daphne, a huge inflatable duck, as it wa… https://t.co/JbRuiKyKD2",Mon Mar 19 09:15:12 +0000 2018,0.3182,0.0,0.099,0.099
62,The New York Times,"Cambridge Analytica, a voter-profiling company, harvested private information from the Facebook profiles of more th… https://t.co/LgoFfnxjHd",Mon Mar 19 09:00:11 +0000 2018,0.0,0.0,0.0,0.0
63,The New York Times,"RT @nytimesworld: On Monday morning, the situation in an Australian town hit by bushfires was still ""dangerous and dynamic"" https://t.co/Ni…",Mon Mar 19 08:44:03 +0000 2018,-0.128,0.131,0.11,0.11
64,The New York Times,American and British lawmakers called on Facebook to explain how a political data firm tied to the Trump campaign h… https://t.co/uWEL6pePty,Mon Mar 19 08:31:03 +0000 2018,0.0,0.0,0.0,0.0
65,The New York Times,"RT @nytimesworld: Parents are left to grieve, again, after another school kidnapping in Nigeria. In Dapchi, one father said he would rather…",Mon Mar 19 08:17:04 +0000 2018,-0.3818,0.11,0.0,0.0
66,The New York Times,"When asked if women were equal to men, Prince Mohammed said: ""Absolutely. We are all human beings and there is no d… https://t.co/BHwvmVtvTp",Mon Mar 19 08:04:05 +0000 2018,-0.296,0.091,0.0,0.0
67,The New York Times,"RT @nytimesworld: “The coaches try to educate the athletes in all ways, not only in wrestling,” said a wrestler in the Dagestan region of R…",Mon Mar 19 07:44:02 +0000 2018,0.0,0.0,0.0,0.0
68,The New York Times,Are there any keepsakes that you just can’t bear to throw away from your wedding or relationship? Share them with u… https://t.co/O6Zxtu7Hkn,Mon Mar 19 07:22:20 +0000 2018,0.296,0.0,0.095,0.095
69,The New York Times,4 Easy Ways to Cut Down Your Sugar Intake https://t.co/cC6VPwBrfz,Mon Mar 19 07:04:11 +0000 2018,0.2023,0.175,0.242,0.242
70,The New York Times,"Police lying persists, even amid an explosion of video evidence that has allowed the public to test officers’ credi… https://t.co/JcUR5Jk0Gi",Mon Mar 19 06:46:55 +0000 2018,-0.5267,0.152,0.0,0.0
71,The New York Times,"RT @NYTmag: An hour before she goes to bed, @juliascribe turns off all the lights and her devices for the night, and lights a candle or two…",Mon Mar 19 06:29:26 +0000 2018,0.0,0.0,0.0,0.0
72,The New York Times,"On Queer Eye, @Antoni Porowski imparts lessons in home cooking that often involve ?. Some might say too often. But… https://t.co/V4qyXKsDIZ",Mon Mar 19 06:11:52 +0000 2018,0.0,0.0,0.0,0.0
73,The New York Times,U.K. Lawmakers Say Britain Should Consider Delaying Brexit https://t.co/buDk0QC4mh,Mon Mar 19 05:53:45 +0000 2018,0.0,0.0,0.0,0.0
74,The New York Times,Florence has not forgotten the Brownings https://t.co/19nDNRNCfs,Mon Mar 19 05:38:47 +0000 2018,0.1695,0.0,0.217,0.217
75,The New York Times,"Because ""a typical password-protected user account does nothing to protect your data"" https://t.co/qr8sm2aYc5",Mon Mar 19 05:21:19 +0000 2018,-0.2924,0.154,0.0,0.0
76,The New York Times,Still can't fight the moonlight https://t.co/IXzuqu8pnD,Mon Mar 19 05:03:39 +0000 2018,0.2924,0.0,0.304,0.304
77,The New York Times,"Being a Paralympic athlete used to be a part-time, do-it-yourself pursuit. Not anymore. https://t.co/hWT58azjKY",Mon Mar 19 04:46:33 +0000 2018,0.0,0.0,0.0,0.0
78,The New York Times,"Joan Baez, at 77: ""I don’t make history, I am history"" https://t.co/1QgnJqpLKR https://t.co/gzj0lkA22s",Mon Mar 19 04:29:08 +0000 2018,0.0,0.0,0.0,0.0
79,The New York Times,"What, exactly, does cursing do for a playwright? https://t.co/GxggH7y9CV",Mon Mar 19 04:12:40 +0000 2018,0.0,0.0,0.0,0.0
80,The New York Times,"RT @maggieNYT: For Trump, everything is about power and domination and control. He sees himself as beating his in-house critics, Tillerson,…",Mon Mar 19 03:55:02 +0000 2018,-0.6597,0.262,0.0,0.0
81,The New York Times,"RT @mannyNYT: Austin police, FBI and ATF are responding to reports of another explosion in Austin tonight https://t.co/hU3JL1HBqk",Mon Mar 19 03:34:04 +0000 2018,0.0,0.0,0.0,0.0
82,The New York Times,RT @NYTSports: Marie Gulich had 14 points and 12 rebounds to lead sixth-seeded Oregon State to its third straight regional semifinal appear…,Mon Mar 19 03:21:05 +0000 2018,0.2263,0.0,0.083,0.083
83,The New York Times,Marjory Stoneman Douglas High School officials considered forcibly committing Nikolas Cruz for psychiatric evaluati… https://t.co/Q0SC9VxyGE,Mon Mar 19 03:05:07 +0000 2018,0.0772,0.0,0.085,0.085
84,The New York Times,"Easter Island is eroding. Climate change is threatening its future, and also its past. https://t.co/N1JQhQOkHb",Mon Mar 19 02:49:33 +0000 2018,-0.5267,0.195,0.0,0.0
85,The New York Times,Uber’s New Rival in Australia: An Indian Upstart https://t.co/9oQuvMPwTC,Mon Mar 19 02:31:00 +0000 2018,0.0,0.0,0.0,0.0
86,The New York Times,"After Beating No. 1, U.M.B.C. Falls to a No. 9 https://t.co/4CIcdOL8Kx",Mon Mar 19 02:26:04 +0000 2018,-0.7506,0.552,0.0,0.0
87,The New York Times,"""I’ve written more than 100 articles, heard many couples say, 'I do,' and listened to their love stories. ... It’s… https://t.co/44DEx38bS6",Mon Mar 19 02:20:18 +0000 2018,0.6369,0.0,0.174,0.174
88,The New York Times,A perfect dinner side dish https://t.co/WEiFYUkUZh https://t.co/0Dt8Zvnumz,Mon Mar 19 02:02:35 +0000 2018,0.5719,0.0,0.425,0.425
89,The New York Times,"RT @nytimesmusic: Ashlee Simpson: you asked, we answered https://t.co/pYRBAt9gUS https://t.co/crGC1w2skw",Mon Mar 19 01:45:17 +0000 2018,0.0,0.0,0.0,0.0
90,The New York Times,Some new restaurants you just know are going to be copied like Chanel handbags. See: Babu Ji. https://t.co/SA0AKKeqDW,Mon Mar 19 01:28:12 +0000 2018,0.3612,0.0,0.128,0.128
91,The New York Times,"Masters Preview? Rory McIlroy Wins at Bay Hill, and Tiger Woods Makes a Run https://t.co/hwDIsEFsEX",Mon Mar 19 01:09:40 +0000 2018,0.5719,0.0,0.222,0.222
92,The New York Times,"A dozen people close to President Trump or the White House, including current and former aides and longtime friends… https://t.co/FyTCcICvb8",Mon Mar 19 01:07:03 +0000 2018,0.0,0.0,0.0,0.0
93,The New York Times,"“Done right, green can actually be more luxurious” than a conventional house https://t.co/ngJavBpCG3",Mon Mar 19 00:53:19 +0000 2018,0.0,0.0,0.0,0.0
94,The New York Times,"Saudi Crown Prince, in His Own Words: Women Are ‘Absolutely’ Equal https://t.co/N2yoXg1s8x",Mon Mar 19 00:39:10 +0000 2018,0.0,0.0,0.0,0.0
95,The New York Times,Bananas and chocolate chips? Yes. https://t.co/g0TsxmD1mH https://t.co/ObdP5VUkTN,Mon Mar 19 00:35:51 +0000 2018,0.4019,0.0,0.31,0.31
96,The New York Times,Police Plea to Austin Bomber: ‘We Want to Listen to You’ https://t.co/3AdvIQuyHr,Mon Mar 19 00:19:46 +0000 2018,0.0772,0.0,0.106,0.106
97,The New York Times,Texas A&amp;M Swats Second-Seeded North Carolina From Tournament https://t.co/AUJqpEXD7G,Mon Mar 19 00:05:29 +0000 2018,0.0,0.0,0.0,0.0
98,The New York Times,A Republican candidate in Maine dropped out after he was excoriated for calling one Parkland shooting survivor a “s… https://t.co/o7GyTEVd4N,Sun Mar 18 23:50:48 +0000 2018,0.3612,0.0,0.128,0.128
99,The New York Times,Austria’s Far Right Wants the Freedom to Smoke https://t.co/kBlphZomXu,Sun Mar 18 23:34:30 +0000 2018,0.6369,0.0,0.344,0.344
100,CBS,New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M,Sun Mar 18 23:44:30 +0000 2018,0.0,0.0,0.0,0.0
101,CBS,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju,Sun Mar 18 18:05:43 +0000 2018,0.6514,0.0,0.213,0.213
102,CBS,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…",Sun Mar 18 17:09:53 +0000 2018,0.1867,0.0,0.08,0.08
103,CBS,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp",Sat Mar 17 19:00:02 +0000 2018,0.0,0.0,0.0,0.0
104,CBS,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog,Sat Mar 17 17:42:43 +0000 2018,0.6166,0.0,0.161,0.161
105,CBS,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL,Sat Mar 17 14:00:03 +0000 2018,0.7096,0.0,0.247,0.247
106,CBS,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i,Fri Mar 16 22:53:21 +0000 2018,0.296,0.0,0.104,0.104
107,CBS,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…",Fri Mar 16 18:15:53 +0000 2018,0.0,0.0,0.0,0.0
108,CBS,The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP,Fri Mar 16 16:28:40 +0000 2018,0.6514,0.0,0.178,0.178
109,CBS,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions ???? https://t.co/ie1…",Thu Mar 15 17:54:06 +0000 2018,0.7088,0.0,0.237,0.237
110,CBS,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…,Thu Mar 15 17:20:26 +0000 2018,-0.4939,0.157,0.077,0.077
111,CBS,Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb,Thu Mar 15 16:42:41 +0000 2018,0.6514,0.0,0.194,0.194
112,CBS,RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR,Thu Mar 15 14:32:16 +0000 2018,0.6115,0.0,0.266,0.266
113,CBS,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S",Wed Mar 14 19:30:01 +0000 2018,0.6696,0.0,0.219,0.219
114,CBS,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",Tue Mar 13 18:48:52 +0000 2018,0.3612,0.0,0.143,0.143
115,CBS,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI",Tue Mar 13 14:15:10 +0000 2018,0.539,0.0,0.179,0.179
116,CBS,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is ???! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…,Mon Mar 12 18:13:28 +0000 2018,0.2244,0.0,0.083,0.083
117,CBS,"RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…",Mon Mar 12 01:20:43 +0000 2018,0.0,0.0,0.0,0.0
118,CBS,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,Fri Mar 09 22:48:26 +0000 2018,0.4926,0.0,0.117,0.117
